image_path,label
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_01_18 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.36.58 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.21.18 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.24.42 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 5, 2026, 09_25_27 PM.png",0
real news/WhatsApp Image 2026-06-08 at 2.19.45 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 7, 2026, 12_28_45 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.48.12 PM.jpeg,1
fake image 2.0/150b07a8-ac9b-4bd5-a600-85bdca870095.png,0
real news/WhatsApp Image 2026-06-08 at 2.20.19 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_30_08 AM.png",0
fake image 2.0/658864655_1437147908458729_9149876494352725344_n.jpg,0
real news/WhatsApp Image 2026-06-08 at 2.20.03 PM.jpeg,1
fake image 2.0/Gemini_Generated_Image_tobt6ptobt6ptobt.png,0
"fake image 2.0/ChatGPT Image Jun 5, 2026, 10_29_23 PM.png",0
real news/WhatsApp Image 2026-06-08 at 2.25.13 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 5, 2026, 08_52_48 PM.png",0
real news/WhatsApp Image 2026-06-08 at 2.14.44 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 11_55_15 PM.png",0
real news/WhatsApp Image 2026-06-07 at 11.36.32 PM.jpeg,1
fake image 2.0/3981dee3-1547-4956-af35-7d1a053edafa.png,0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_17_10 AM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_06_33 AM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_09_21 AM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_13_30 AM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_23_33 AM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_38_11 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.18.22 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 5, 2026, 09_21_47 PM.png",0
real news/WhatsApp Image 2026-06-08 at 2.11.19 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 11_33_32 PM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_10_41 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.19.03 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.25.33 PM.jpeg,1
fake image 2.0/ab1a7947-d07e-496b-8050-f0b0ddfa9ee9.png,0
real news/WhatsApp Image 2026-06-07 at 11.45.55 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.37.29 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.23.10 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_44_25 AM.png",0
real news/download.jpg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_40_01 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.42.52 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_21_49 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.14.24 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.21.36 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.23.35 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_43_21 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.46.38 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_36_25 AM.png",0
fake image 2.0/Gemini_Generated_Image_g6c0adg6c0adg6c0.png,0
fake image 2.0/goa fake job news.jpg,0
real news/WhatsApp Image 2026-06-07 at 11.35.39 PM.jpeg,1
fake image 2.0/Gemini_Generated_Image_rhl24arhl24arhl2.png,0
real news/WhatsApp Image 2026-06-08 at 2.18.44 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_30_16 AM.png",0
"fake image 2.0/ChatGPT Image Jun 5, 2026, 09_37_25 PM.png",0
fake image 2.0/58262d8b-6a18-479f-9b77-7ee450cee129.png,0
real news/WhatsApp Image 2026-06-08 at 2.20.36 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_41_34 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.38.27 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 5, 2026, 09_46_35 PM.png",0
fake image 2.0/20828d09-82c9-48f1-94e0-ed6da3d9ec71.png,0
real news/WhatsApp Image 2026-06-08 at 2.14.04 PM.jpeg,1
fake image 2.0/Gemini_Generated_Image_6aq4qc6aq4qc6aq4.png,0
real news/WhatsApp Image 2026-06-07 at 11.40.06 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.34.06 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.10.02 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 7, 2026, 12_00_31 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.10.20 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.42.14 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 5, 2026, 09_33_34 PM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_25_02 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.40.45 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.40.19 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.47.33 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.36.13 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.35.17 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.23.55 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.47.50 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_11_36 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.34.59 PM.jpeg,1
fake image 2.0/ce3f8192-854a-4023-9552-ae9b7a512ab6.png,0
real news/WhatsApp Image 2026-06-08 at 2.22.28 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_48_33 AM.png",0
